Roll No,Course Code,Slot,Inst name
12040730,DS209,"A1, F23 ",Dr. Souradyuti Paul
12041040,ME333,B ,Dr. Ganesh Kolappan Geetha
12041040,ME514,I ,Dr. Pravesh C. Shukla
12140010,LA358,H1 ,Dr. Rekha Ravindran
12140020,LA358,H1 ,Dr. Rekha Ravindran
12140030,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140030,LA358,H1 ,Dr. Rekha Ravindran
12140040,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140040,LA358,H1 ,Dr. Rekha Ravindran
12140050,LA358,H1 ,Dr. Rekha Ravindran
12140060,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140070,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140070,LA358,H1 ,Dr. Rekha Ravindran
12140080,ME333,B ,Dr. Ganesh Kolappan Geetha
12140080,LA358,H1 ,Dr. Rekha Ravindran
12140080,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140090,LA358,H1 ,Dr. Rekha Ravindran
12140090,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140100,LA358,H1 ,Dr. Rekha Ravindran
12140100,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140110,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140110,LA358,H1 ,Dr. Rekha Ravindran
12140120,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140130,ME514,I ,Dr. Pravesh C. Shukla
12140130,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140140,IC151,H1 ,Dr. Dhruv Pratap Singh
12140140,LAL100,E2 ,Dr. Sruthi Vinayan
12140160,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140160,LA358,H1 ,Dr. Rekha Ravindran
12140170,LA358,H1 ,Dr. Rekha Ravindran
12140180,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140180,MT301,D1 ,Dr. Avishek Adhikary
12140180,LA358,H1 ,Dr. Rekha Ravindran
12140190,LA358,H1 ,Dr. Rekha Ravindran
12140200,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140210,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140210,LA358,H1 ,Dr. Rekha Ravindran
12140220,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140220,ME514,I ,Dr. Pravesh C. Shukla
12140220,LA358,H1 ,Dr. Rekha Ravindran
12140230,LA358,H1 ,Dr. Rekha Ravindran
12140230,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140250,LA358,H1 ,Dr. Rekha Ravindran
12140250,MT301,D1 ,Dr. Avishek Adhikary
12140250,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140270,LA358,H1 ,Dr. Rekha Ravindran
12140280,LA358,H1 ,Dr. Rekha Ravindran
12140280,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140290,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140300,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140310,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140330,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140340,MT301,D1 ,Dr. Avishek Adhikary
12140340,LA358,H1 ,Dr. Rekha Ravindran
12140350,MT301,D1 ,Dr. Avishek Adhikary
12140350,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140370,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140370,LA358,H1 ,Dr. Rekha Ravindran
12140380,ME514,I ,Dr. Pravesh C. Shukla
12140380,IC300,G1 ,Dr. Satyajit Gupta
12140380,CA250,"G2, E3 ",Dr. Anindita Ghosh
12140390,LA358,H1 ,Dr. Rekha Ravindran
12140390,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140400,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140410,LA358,H1 ,Dr. Rekha Ravindran
12140420,LA358,H1 ,Dr. Rekha Ravindran
12140420,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140430,CS300,B ,Dr. Amit Kumar Dhar
12140430,LA358,H1 ,Dr. Rekha Ravindran
12140430,MT301,D1 ,Dr. Avishek Adhikary
12140440,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140440,LA358,H1 ,Dr. Rekha Ravindran
12140450,LA358,H1 ,Dr. Rekha Ravindran
12140450,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140460,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140460,LA358,H1 ,Dr. Rekha Ravindran
12140470,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140480,LA358,H1 ,Dr. Rekha Ravindran
12140490,LA358,H1 ,Dr. Rekha Ravindran
12140490,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140500,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140510,LA358,H1 ,Dr. Rekha Ravindran
12140530,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140530,LA358,H1 ,Dr. Rekha Ravindran
12140540,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140540,LA358,H1 ,Dr. Rekha Ravindran
12140550,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140550,LA358,H1 ,Dr. Rekha Ravindran
12140560,LA358,H1 ,Dr. Rekha Ravindran
12140560,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140570,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140570,LA358,H1 ,Dr. Rekha Ravindran
12140580,LA358,H1 ,Dr. Rekha Ravindran
12140580,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140590,LA358,H1 ,Dr. Rekha Ravindran
12140590,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140600,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140610,LA358,H1 ,Dr. Rekha Ravindran
12140610,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140620,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140620,LA358,H1 ,Dr. Rekha Ravindran
12140630,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140640,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140640,LA358,H1 ,Dr. Rekha Ravindran
12140650,LA358,H1 ,Dr. Rekha Ravindran
12140670,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140670,LA358,H1 ,Dr. Rekha Ravindran
12140680,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140680,LA358,H1 ,Dr. Rekha Ravindran
12140690,LA358,H1 ,Dr. Rekha Ravindran
12140700,LA358,H1 ,Dr. Rekha Ravindran
12140700,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140710,LA358,H1 ,Dr. Rekha Ravindran
12140710,DS209,"A1, F23 ",Dr. Souradyuti Paul
12140720,LA358,H1 ,Dr. Rekha Ravindran
12140720,DS209,"A1, F23 ",Dr. Souradyuti Paul
